¹;CarBrand;Cost;DriversAge;DrivingExperience;CarsAge
1;Acura;0,521;25;3;10
2;Audi;0,866;24;3;1
3;BMW;0,496;29;3;4
4;Buick;0,614;50;25;9
5;Corvette;1,235;62;38;15
6;Chrysler;0,614;43;21;9
7;Dobge;0,706;26;1;5
8;Eagle;0,614;20;1;1
9;Ford;0,706;54;10;11
10;Honda;0,429;38;8;7
11;Isuzu;0,798;27;5;3
12;Mazda;0,126;51;20;10
13;Mercedes;1,051;46;25;4
14;Minsub;0,614;23;2;7
15;Nissan;0,429;31;6;6
16;Olds;0,614;45;16;4
17;Pontiac;0,614;40;16;2
18;Porsche;3,454;41;8;8
19;Saab;0,588;29;5;2
20;Toyota;0,059;36;13;1
21;VW;0,706;38;15;6
22;Volvo;0,219;42;19;4
